i,t,m,Rural
0662-002-002,2019-20,Mainland Rural,1
0663-001-001,2019-20,Mainland Rural,1
0663-001-002,2019-20,Mainland Rural,1
0663-003-001,2019-20,Mainland Rural,1
0664-001-001,2019-20,Mainland Rural,1
0665-001-001,2019-20,Mainland Rural,1
0666-001-001,2019-20,Mainland Rural,1
0666-003-001,2019-20,Mainland Rural,1
0667-001-001,2019-20,Mainland Other Urban,0
0668-001-001,2019-20,Mainland Other Urban,0
0668-001-002,2019-20,Mainland Other Urban,0
0668-002-001,2019-20,Mainland Other Urban,0
0669-001-001,2019-20,Mainland Rural,1
0671-001-001,2019-20,Mainland Other Urban,0
0671-003-001,2019-20,Mainland Other Urban,0
0672-001-001,2019-20,Mainland Rural,1
0674-001-001,2019-20,Mainland Other Urban,0
0675-001-001,2019-20,Mainland Other Urban,0
0675-001-004,2019-20,Mainland Rural,1
0676-001-001,2019-20,Mainland Rural,1
0677-001-001,2019-20,Mainland Other Urban,0
0678-001-001,2019-20,Mainland Other Urban,0
0678-001-002,2019-20,Mainland Rural,1
0679-001-001,2019-20,Mainland Rural,1
0680-001-001,2019-20,Mainland Other Urban,0
0681-001-002,2019-20,Mainland Rural,1
0682-001-002,2019-20,Mainland Other Urban,0
0683-001-001,2019-20,Mainland Other Urban,0
0683-001-009,2019-20,Mainland Rural,1
0683-002-002,2019-20,Mainland Other Urban,0
0684-001-002,2019-20,Mainland Rural,1
0684-001-004,2019-20,Mainland Other Urban,0
0684-005-001,2019-20,Mainland Rural,1
0684-005-002,2019-20,Mainland Other Urban,0
0685-001-001,2019-20,Mainland Rural,1
0686-001-001,2019-20,Dar Es Salaam,0
0687-001-001,2019-20,Mainland Other Urban,0
0687-001-004,2019-20,Mainland Other Urban,0
0687-006-001,2019-20,Mainland Other Urban,0
0687-006-002,2019-20,Mainland Other Urban,0
0688-001-001,2019-20,Mainland Rural,1
0689-001-001,2019-20,Mainland Other Urban,0
0689-001-008,2019-20,Mainland Rural,1
0690-001-001,2019-20,Mainland Other Urban,0
0692-002-001,2019-20,Mainland Other Urban,0
0694-001-001,2019-20,Mainland Other Urban,0
0695-001-001,2019-20,Mainland Rural,1
0695-004-001,2019-20,Mainland Rural,1
0695-004-003,2019-20,Mainland Rural,1
0696-001-001,2019-20,Mainland Rural,1
0696-002-001,2019-20,Mainland Rural,1
0696-004-001,2019-20,Mainland Other Urban,0
0697-001-001,2019-20,Mainland Other Urban,0
0698-001-001,2019-20,Mainland Other Urban,0
0698-003-002,2019-20,Mainland Rural,1
0698-009-001,2019-20,Mainland Rural,1
0699-001-001,2019-20,Mainland Other Urban,0
0700-001-001,2019-20,Mainland Other Urban,0
0701-003-001,2019-20,Dar Es Salaam,0
0702-001-001,2019-20,Mainland Other Urban,0
0703-001-001,2019-20,Mainland Other Urban,0
0705-002-001,2019-20,Mainland Rural,1
0706-002-001,2019-20,Mainland Other Urban,0
0707-001-001,2019-20,Mainland Rural,1
0707-001-003,2019-20,Mainland Rural,1
0707-002-001,2019-20,Mainland Other Urban,0
0708-002-001,2019-20,Mainland Rural,1
0709-001-001,2019-20,Mainland Other Urban,0
0709-001-002,2019-20,Mainland Other Urban,0
0710-001-001,2019-20,Mainland Rural,1
0710-003-001,2019-20,Mainland Rural,1
0710-003-003,2019-20,Mainland Rural,1
0710-004-001,2019-20,Mainland Rural,1
0711-001-003,2019-20,Mainland Other Urban,0
0714-001-002,2019-20,Mainland Rural,1
0715-001-001,2019-20,Mainland Other Urban,0
0715-004-001,2019-20,Mainland Other Urban,0
0717-001-001,2019-20,Mainland Rural,1
0718-001-001,2019-20,Mainland Rural,1
0718-003-001,2019-20,Mainland Rural,1
0718-010-001,2019-20,Mainland Rural,1
0719-001-001,2019-20,Mainland Other Urban,0
0720-001-001,2019-20,Mainland Rural,1
0720-001-011,2019-20,Mainland Rural,1
0720-010-001,2019-20,Mainland Rural,1
0720-010-006,2019-20,Mainland Rural,1
0720-015-001,2019-20,Mainland Rural,1
0720-015-003,2019-20,Mainland Rural,1
0720-015-004,2019-20,Mainland Rural,1
0721-002-001,2019-20,Mainland Other Urban,0
0722-001-001,2019-20,Mainland Rural,1
0723-001-001,2019-20,Mainland Rural,1
0724-001-001,2019-20,Mainland Rural,1
0724-002-001,2019-20,Mainland Rural,1
0725-001-001,2019-20,Mainland Rural,1
0725-004-001,2019-20,Mainland Rural,1
0726-001-001,2019-20,Mainland Rural,1
0726-004-001,2019-20,Mainland Rural,1
0726-004-006,2019-20,Mainland Rural,1
0727-001-001,2019-20,Mainland Rural,1
0729-001-002,2019-20,Mainland Rural,1
0729-003-001,2019-20,Mainland Rural,1
0729-004-001,2019-20,Mainland Rural,1
0731-001-001,2019-20,Mainland Rural,1
0731-001-003,2019-20,Mainland Rural,1
0732-001-001,2019-20,Mainland Rural,1
0733-001-001,2019-20,Mainland Rural,1
0734-001-001,2019-20,Mainland Rural,1
0736-001-001,2019-20,Mainland Other Urban,0
0736-003-001,2019-20,Mainland Rural,1
0736-003-003,2019-20,Mainland Rural,1
0736-003-004,2019-20,Mainland Rural,1
0736-003-005,2019-20,Mainland Rural,1
0736-003-006,2019-20,Mainland Rural,1
0737-001-001,2019-20,Mainland Rural,1
0738-001-001,2019-20,Mainland Rural,1
0739-001-001,2019-20,Mainland Rural,1
0740-001-001,2019-20,Mainland Rural,1
0740-003-001,2019-20,Mainland Other Urban,0
0741-001-001,2019-20,Mainland Rural,1
0741-001-004,2019-20,Mainland Rural,1
0742-001-001,2019-20,Mainland Rural,1
0742-006-001,2019-20,Mainland Rural,1
0742-006-003,2019-20,Mainland Other Urban,0
0743-001-001,2019-20,Mainland Rural,1
0743-001-002,2019-20,Mainland Rural,1
0744-001-001,2019-20,Mainland Rural,1
0744-003-001,2019-20,Mainland Other Urban,0
0744-005-002,2019-20,Mainland Rural,1
0745-001-001,2019-20,Mainland Rural,1
0746-001-001,2019-20,Mainland Rural,1
0747-001-001,2019-20,Mainland Rural,1
0748-001-001,2019-20,Mainland Rural,1
0748-006-001,2019-20,Mainland Rural,1
0749-001-001,2019-20,Mainland Other Urban,0
0749-002-001,2019-20,Mainland Other Urban,0
0749-003-001,2019-20,Mainland Rural,1
0750-001-001,2019-20,Mainland Rural,1
0751-001-001,2019-20,Mainland Rural,1
0751-001-002,2019-20,Mainland Rural,1
0751-001-009,2019-20,Mainland Rural,1
0752-001-001,2019-20,Mainland Rural,1
0752-004-001,2019-20,Mainland Rural,1
0752-004-004,2019-20,Mainland Other Urban,0
0752-004-005,2019-20,Mainland Rural,1
0752-021-001,2019-20,Mainland Rural,1
0753-001-001,2019-20,Mainland Rural,1
0754-001-001,2019-20,Mainland Rural,1
0755-001-001,2019-20,Mainland Rural,1
0756-001-001,2019-20,Mainland Rural,1
0756-001-003,2019-20,Mainland Rural,1
0757-001-001,2019-20,Mainland Rural,1
0758-001-001,2019-20,Mainland Rural,1
0759-001-001,2019-20,Mainland Rural,1
0761-001-001,2019-20,Zanzibar,1
0762-001-001,2019-20,Zanzibar,1
0767-001-001,2019-20,Zanzibar,1
0768-001-001,2019-20,Zanzibar,1
0768-001-002,2019-20,Zanzibar,1
0768-001-004,2019-20,Zanzibar,1
0768-001-011,2019-20,Zanzibar,1
0769-001-001,2019-20,Zanzibar,1
0770-001-001,2019-20,Zanzibar,1
0771-001-001,2019-20,Zanzibar,1
0772-001-002,2019-20,Zanzibar,1
0772-002-001,2019-20,Zanzibar,1
0772-002-003,2019-20,Zanzibar,1
0772-002-004,2019-20,Zanzibar,1
0773-001-001,2019-20,Zanzibar,1
0773-001-003,2019-20,Zanzibar,1
0775-001-001,2019-20,Zanzibar,1
0776-001-001,2019-20,Zanzibar,1
0776-001-005,2019-20,Zanzibar,1
0777-001-001,2019-20,Zanzibar,1
0778-001-001,2019-20,Zanzibar,1
0780-001-001,2019-20,Zanzibar,1
0781-001-001,2019-20,Zanzibar,1
0783-001-001,2019-20,Zanzibar,1
0783-001-004,2019-20,Zanzibar,1
0783-001-006,2019-20,Zanzibar,1
0785-001-001,2019-20,Zanzibar,1
0785-001-004,2019-20,Zanzibar,0
0785-001-005,2019-20,Zanzibar,1
0785-001-006,2019-20,Zanzibar,1
0785-008-001,2019-20,Zanzibar,1
0785-008-002,2019-20,Zanzibar,1
0786-002-001,2019-20,Zanzibar,1
0787-001-001,2019-20,Zanzibar,1
0788-001-001,2019-20,Zanzibar,1
0789-001-001,2019-20,Zanzibar,1
0789-001-003,2019-20,Zanzibar,1
0789-001-005,2019-20,Zanzibar,1
0789-001-006,2019-20,Zanzibar,1
0789-001-007,2019-20,Zanzibar,1
0790-001-001,2019-20,Zanzibar,1
0791-001-001,2019-20,Zanzibar,1
0792-002-002,2019-20,Zanzibar,1
0792-002-003,2019-20,Zanzibar,1
0793-001-001,2019-20,Zanzibar,1
0794-001-001,2019-20,Zanzibar,1
0796-001-002,2019-20,Zanzibar,1
0797-001-001,2019-20,Zanzibar,1
0797-001-007,2019-20,Zanzibar,1
0797-002-002,2019-20,Zanzibar,1
0798-001-001,2019-20,Zanzibar,1
0800-001-001,2019-20,Zanzibar,1
0800-001-002,2019-20,Zanzibar,0
0802-001-001,2019-20,Zanzibar,1
0803-001-002,2019-20,Zanzibar,1
0803-001-010,2019-20,Zanzibar,1
0806-001-001,2019-20,Zanzibar,1
0809-001-001,2019-20,Zanzibar,1
0809-001-008,2019-20,Dar Es Salaam,0
0810-001-001,2019-20,Zanzibar,1
0810-001-004,2019-20,Zanzibar,1
0813-001-001,2019-20,Zanzibar,1
0813-006-001,2019-20,Zanzibar,1
0816-001-001,2019-20,Zanzibar,1
0816-003-001,2019-20,Zanzibar,1
0816-003-002,2019-20,Zanzibar,0
0816-004-001,2019-20,Zanzibar,1
0816-005-001,2019-20,Zanzibar,1
0817-001-001,2019-20,Zanzibar,1
0817-001-007,2019-20,Zanzibar,0
0817-009-001,2019-20,Zanzibar,1
0820-001-002,2019-20,Zanzibar,0
0820-001-003,2019-20,Zanzibar,0
0820-001-009,2019-20,Zanzibar,1
0822-001-001,2019-20,Zanzibar,1
0824-001-001,2019-20,Zanzibar,1
0824-001-003,2019-20,Zanzibar,1
0824-001-006,2019-20,Zanzibar,1
0824-006-001,2019-20,Zanzibar,0
0827-001-002,2019-20,Zanzibar,0
0828-001-001,2019-20,Zanzibar,1
0828-001-002,2019-20,Zanzibar,0
0829-001-001,2019-20,Zanzibar,1
0830-001-001,2019-20,Zanzibar,1
0831-001-001,2019-20,Zanzibar,1
0834-001-001,2019-20,Zanzibar,1
0835-001-001,2019-20,Zanzibar,0
0836-001-001,2019-20,Zanzibar,1
0836-001-002,2019-20,Zanzibar,0
0839-001-002,2019-20,Zanzibar,1
0839-001-003,2019-20,Zanzibar,0
0839-002-001,2019-20,Zanzibar,1
0840-001-002,2019-20,Zanzibar,1
0840-001-003,2019-20,Zanzibar,0
0841-001-001,2019-20,Zanzibar,1
0842-001-001,2019-20,Zanzibar,1
0843-001-001,2019-20,Zanzibar,1
0844-001-001,2019-20,Zanzibar,1
0844-001-002,2019-20,Zanzibar,0
0844-004-001,2019-20,Zanzibar,1
0844-004-004,2019-20,Zanzibar,0
0846-001-001,2019-20,Zanzibar,1
0847-001-001,2019-20,Zanzibar,1
0847-001-003,2019-20,Zanzibar,1
0847-004-001,2019-20,Zanzibar,1
0848-001-001,2019-20,Zanzibar,1
0848-001-003,2019-20,Zanzibar,0
0848-001-004,2019-20,Zanzibar,0
0848-001-005,2019-20,Zanzibar,0
0848-001-006,2019-20,Zanzibar,0
0849-001-001,2019-20,Zanzibar,1
0850-001-002,2019-20,Zanzibar,1
0850-001-003,2019-20,Zanzibar,1
0851-001-001,2019-20,Zanzibar,1
0852-001-001,2019-20,Zanzibar,1
0852-001-002,2019-20,Zanzibar,1
0854-001-001,2019-20,Zanzibar,1
0855-001-001,2019-20,Zanzibar,1
0856-001-001,2019-20,Zanzibar,1
0856-001-003,2019-20,Zanzibar,0
0857-001-001,2019-20,Zanzibar,1
0858-001-001,2019-20,Dar Es Salaam,0
0858-001-002,2019-20,Dar Es Salaam,0
0860-001-001,2019-20,Zanzibar,1
1000-001-01,2020-21,Mainland Rural,1
1000-001-02,2020-21,Mainland Rural,1
1000-001-03,2020-21,Mainland Rural,1
1000-001-06,2020-21,Mainland Rural,1
1001-001-01,2020-21,Mainland Rural,1
1002-001-01,2020-21,Mainland Rural,1
1003-001-01,2020-21,Mainland Rural,1
1005-001-01,2020-21,Mainland Rural,1
1006-001-01,2020-21,Mainland Rural,1
1006-001-03,2020-21,Mainland Rural,1
1006-001-04,2020-21,Mainland Rural,1
1006-001-05,2020-21,Mainland Rural,1
1007-001-01,2020-21,Mainland Rural,1
1009-001-01,2020-21,Mainland Rural,1
1019-001-01,2020-21,Mainland Other Urban,0
1020-001-01,2020-21,Mainland Other Urban,0
1021-001-01,2020-21,Mainland Other Urban,0
1022-001-01,2020-21,Mainland Other Urban,0
1023-001-01,2020-21,Mainland Other Urban,0
1024-001-01,2020-21,Mainland Other Urban,0
1025-001-02,2020-21,Mainland Other Urban,0
1038-001-02,2020-21,Mainland Other Urban,0
1039-001-01,2020-21,Mainland Other Urban,0
1041-001-01,2020-21,Mainland Other Urban,0
1042-001-01,2020-21,Mainland Other Urban,0
1042-001-02,2020-21,Mainland Other Urban,0
1043-001-01,2020-21,Mainland Other Urban,0
1044-001-01,2020-21,Mainland Other Urban,0
1045-001-01,2020-21,Mainland Other Urban,0
1058-001-01,2020-21,Mainland Rural,1
1059-001-01,2020-21,Mainland Rural,1
1059-001-03,2020-21,Mainland Rural,1
1059-001-06,2020-21,Mainland Rural,1
1060-001-01,2020-21,Mainland Rural,1
1061-001-03,2020-21,Mainland Rural,1
1062-001-01,2020-21,Mainland Rural,1
1063-001-01,2020-21,Mainland Rural,1
1064-001-01,2020-21,Mainland Rural,1
1076-001-01,2020-21,Mainland Rural,1
1077-001-01,2020-21,Mainland Rural,1
1078-001-01,2020-21,Mainland Rural,1
1079-001-01,2020-21,Mainland Rural,1
1080-001-01,2020-21,Mainland Rural,1
1081-001-01,2020-21,Mainland Rural,1
1082-001-01,2020-21,Mainland Rural,1
1083-001-01,2020-21,Mainland Rural,1
1095-001-01,2020-21,Mainland Rural,1
1096-001-01,2020-21,Mainland Rural,1
1096-001-03,2020-21,Mainland Rural,1
1097-001-01,2020-21,Mainland Rural,1
1097-001-02,2020-21,Mainland Rural,1
1097-001-04,2020-21,Mainland Rural,1
1098-001-01,2020-21,Mainland Rural,1
1099-001-01,2020-21,Mainland Rural,1
1100-001-01,2020-21,Mainland Rural,1
1102-001-01,2020-21,Mainland Rural,1
1114-001-01,2020-21,Dar Es Salaam,0
1114-001-02,2020-21,Dar Es Salaam,0
1116-001-01,2020-21,Dar Es Salaam,0
1118-001-01,2020-21,Dar Es Salaam,0
1119-001-02,2020-21,Dar Es Salaam,0
1120-001-02,2020-21,Dar Es Salaam,0
1122-001-02,2020-21,Dar Es Salaam,0
1134-001-01,2020-21,Dar Es Salaam,0
1134-001-03,2020-21,Dar Es Salaam,0
1135-001-01,2020-21,Dar Es Salaam,0
1140-001-01,2020-21,Dar Es Salaam,0
1140-001-03,2020-21,Dar Es Salaam,0
1142-001-01,2020-21,Dar Es Salaam,0
1152-001-01,2020-21,Dar Es Salaam,1
1154-001-01,2020-21,Dar Es Salaam,0
1155-001-01,2020-21,Dar Es Salaam,0
1158-001-01,2020-21,Dar Es Salaam,0
1158-001-02,2020-21,Dar Es Salaam,0
1159-001-01,2020-21,Dar Es Salaam,0
1162-001-01,2020-21,Dar Es Salaam,0
1171-001-01,2020-21,Dar Es Salaam,0
1172-001-03,2020-21,Dar Es Salaam,0
1173-001-01,2020-21,Dar Es Salaam,0
1174-001-01,2020-21,Dar Es Salaam,0
1177-001-01,2020-21,Dar Es Salaam,0
1177-001-03,2020-21,Dar Es Salaam,0
1179-001-01,2020-21,Dar Es Salaam,0
1179-001-02,2020-21,Dar Es Salaam,0
1179-001-06,2020-21,Dar Es Salaam,0
1191-001-01,2020-21,Dar Es Salaam,0
1192-001-01,2020-21,Dar Es Salaam,0
1193-001-01,2020-21,Dar Es Salaam,0
1194-001-01,2020-21,Dar Es Salaam,0
1194-001-04,2020-21,Dar Es Salaam,0
1195-001-01,2020-21,Dar Es Salaam,0
1196-001-01,2020-21,Dar Es Salaam,0
1196-001-04,2020-21,Dar Es Salaam,0
1198-001-01,2020-21,Dar Es Salaam,0
1201-001-01,2020-21,Dar Es Salaam,0
1209-001-01,2020-21,Dar Es Salaam,0
1210-001-01,2020-21,Dar Es Salaam,0
1212-001-01,2020-21,Dar Es Salaam,0
1213-001-01,2020-21,Dar Es Salaam,0
1215-001-01,2020-21,Dar Es Salaam,0
1217-001-01,2020-21,Dar Es Salaam,0
1229-001-01,2020-21,Dar Es Salaam,0
1230-001-01,2020-21,Dar Es Salaam,0
1232-001-01,2020-21,Dar Es Salaam,0
1232-001-03,2020-21,Dar Es Salaam,0
1232-001-04,2020-21,Dar Es Salaam,0
1233-001-01,2020-21,Dar Es Salaam,0
1235-001-02,2020-21,Dar Es Salaam,0
1236-001-01,2020-21,Dar Es Salaam,0
1236-001-04,2020-21,Dar Es Salaam,0
1239-001-01,2020-21,Dar Es Salaam,0
1239-001-02,2020-21,Dar Es Salaam,0
1247-001-01,2020-21,Dar Es Salaam,0
1248-001-01,2020-21,Dar Es Salaam,0
1249-001-01,2020-21,Dar Es Salaam,0
1250-001-01,2020-21,Dar Es Salaam,1
1252-001-01,2020-21,Dar Es Salaam,0
1253-001-01,2020-21,Dar Es Salaam,0
1254-001-01,2020-21,Dar Es Salaam,0
1266-001-02,2020-21,Dar Es Salaam,0
1268-001-01,2020-21,Dar Es Salaam,0
1269-001-01,2020-21,Dar Es Salaam,0
1270-001-01,2020-21,Dar Es Salaam,0
1272-001-01,2020-21,Dar Es Salaam,0
1273-001-01,2020-21,Dar Es Salaam,0
1285-001-02,2020-21,Dar Es Salaam,0
1286-001-01,2020-21,Dar Es Salaam,0
1287-001-01,2020-21,Dar Es Salaam,0
1289-001-01,2020-21,Dar Es Salaam,0
1290-001-01,2020-21,Dar Es Salaam,0
1291-001-01,2020-21,Dar Es Salaam,0
1294-001-01,2020-21,Dar Es Salaam,0
1304-001-01,2020-21,Dar Es Salaam,0
1305-001-01,2020-21,Dar Es Salaam,0
1306-001-01,2020-21,Dar Es Salaam,0
1307-001-01,2020-21,Dar Es Salaam,0
1309-001-01,2020-21,Dar Es Salaam,0
1312-001-01,2020-21,Dar Es Salaam,0
1323-001-01,2020-21,Dar Es Salaam,0
1323-001-04,2020-21,Dar Es Salaam,0
1323-001-05,2020-21,Dar Es Salaam,0
1325-001-01,2020-21,Dar Es Salaam,0
1325-001-05,2020-21,Dar Es Salaam,0
1328-001-01,2020-21,Dar Es Salaam,0
1329-001-01,2020-21,Dar Es Salaam,0
1331-001-01,2020-21,Dar Es Salaam,0
1332-001-01,2020-21,Dar Es Salaam,0
1333-001-01,2020-21,Dar Es Salaam,0
1342-001-01,2020-21,Dar Es Salaam,0
1344-001-01,2020-21,Dar Es Salaam,0
1345-001-01,2020-21,Dar Es Salaam,0
1346-001-01,2020-21,Dar Es Salaam,0
1347-001-01,2020-21,Dar Es Salaam,0
1348-001-01,2020-21,Dar Es Salaam,0
1350-001-01,2020-21,Dar Es Salaam,0
1350-001-04,2020-21,Dar Es Salaam,0
1361-001-01,2020-21,Dar Es Salaam,0
1364-001-01,2020-21,Dar Es Salaam,0
1364-001-04,2020-21,Dar Es Salaam,0
1366-001-01,2020-21,Dar Es Salaam,0
1368-001-01,2020-21,Dar Es Salaam,0
1380-001-02,2020-21,Dar Es Salaam,0
1383-001-01,2020-21,Dar Es Salaam,0
1384-001-01,2020-21,Dar Es Salaam,0
1385-001-01,2020-21,Dar Es Salaam,0
1386-001-01,2020-21,Dar Es Salaam,0
1387-001-02,2020-21,Dar Es Salaam,0
1399-001-01,2020-21,Dar Es Salaam,0
1399-001-04,2020-21,Dar Es Salaam,0
1401-001-01,2020-21,Dar Es Salaam,0
1402-001-01,2020-21,Dar Es Salaam,0
1403-001-01,2020-21,Dar Es Salaam,0
1406-001-01,2020-21,Dar Es Salaam,0
1407-001-01,2020-21,Dar Es Salaam,0
1419-001-01,2020-21,Dar Es Salaam,0
1420-001-01,2020-21,Dar Es Salaam,0
1421-001-01,2020-21,Dar Es Salaam,0
1423-001-01,2020-21,Dar Es Salaam,0
1424-001-02,2020-21,Dar Es Salaam,0
1425-001-01,2020-21,Dar Es Salaam,0
1426-001-01,2020-21,Dar Es Salaam,0
1426-001-02,2020-21,Dar Es Salaam,0
1429-001-01,2020-21,Dar Es Salaam,0
1437-001-01,2020-21,Dar Es Salaam,0
1438-001-01,2020-21,Dar Es Salaam,0
1438-001-03,2020-21,Dar Es Salaam,0
1439-001-01,2020-21,Dar Es Salaam,0
1440-001-01,2020-21,Dar Es Salaam,1
1441-001-01,2020-21,Dar Es Salaam,0
1442-001-01,2020-21,Dar Es Salaam,0
1443-001-01,2020-21,Dar Es Salaam,0
1457-001-01,2020-21,Dar Es Salaam,0
1458-001-02,2020-21,Dar Es Salaam,0
1459-001-01,2020-21,Dar Es Salaam,0
1462-001-01,2020-21,Dar Es Salaam,0
1463-001-01,2020-21,Dar Es Salaam,0
1476-001-01,2020-21,Dar Es Salaam,0
1477-001-01,2020-21,Dar Es Salaam,0
1478-001-01,2020-21,Dar Es Salaam,0
1481-001-01,2020-21,Dar Es Salaam,0
1483-001-01,2020-21,Dar Es Salaam,0
1486-001-02,2020-21,Dar Es Salaam,0
1494-001-01,2020-21,Dar Es Salaam,0
1495-001-01,2020-21,Dar Es Salaam,0
1497-001-01,2020-21,Dar Es Salaam,0
1498-001-01,2020-21,Dar Es Salaam,0
1499-001-01,2020-21,Dar Es Salaam,0
1500-001-01,2020-21,Dar Es Salaam,0
1500-001-02,2020-21,Dar Es Salaam,0
1500-001-03,2020-21,Dar Es Salaam,0
1501-001-01,2020-21,Dar Es Salaam,0
1501-001-04,2020-21,Dar Es Salaam,0
1514-001-01,2020-21,Dar Es Salaam,0
1515-001-01,2020-21,Dar Es Salaam,0
1517-001-01,2020-21,Dar Es Salaam,0
1518-001-01,2020-21,Dar Es Salaam,0
1519-001-01,2020-21,Dar Es Salaam,0
1519-001-03,2020-21,Dar Es Salaam,0
1520-001-01,2020-21,Dar Es Salaam,0
1520-001-05,2020-21,Dar Es Salaam,0
1532-001-01,2020-21,Dar Es Salaam,0
1533-001-01,2020-21,Dar Es Salaam,0
1534-001-01,2020-21,Dar Es Salaam,0
1536-001-01,2020-21,Dar Es Salaam,0
1537-001-01,2020-21,Dar Es Salaam,0
1538-001-01,2020-21,Dar Es Salaam,0
1539-001-01,2020-21,Dar Es Salaam,0
1541-001-01,2020-21,Dar Es Salaam,0
1551-001-01,2020-21,Dar Es Salaam,0
1552-001-01,2020-21,Dar Es Salaam,0
1553-001-01,2020-21,Dar Es Salaam,0
1553-001-03,2020-21,Dar Es Salaam,0
1554-001-01,2020-21,Dar Es Salaam,0
1554-001-02,2020-21,Dar Es Salaam,0
1555-001-01,2020-21,Dar Es Salaam,0
1556-001-01,2020-21,Dar Es Salaam,0
1557-001-01,2020-21,Dar Es Salaam,0
1557-001-03,2020-21,Dar Es Salaam,0
1557-001-07,2020-21,Dar Es Salaam,0
1559-001-01,2020-21,Dar Es Salaam,0
1571-001-01,2020-21,Dar Es Salaam,0
1572-001-01,2020-21,Dar Es Salaam,0
1572-001-04,2020-21,Dar Es Salaam,0
1573-001-01,2020-21,Dar Es Salaam,0
1573-001-02,2020-21,Dar Es Salaam,0
1575-001-02,2020-21,Dar Es Salaam,0
1575-001-03,2020-21,Dar Es Salaam,0
1576-001-02,2020-21,Dar Es Salaam,0
1589-001-01,2020-21,Dar Es Salaam,0
1589-001-02,2020-21,Dar Es Salaam,0
1590-001-01,2020-21,Dar Es Salaam,0
1591-001-01,2020-21,Dar Es Salaam,0
1591-001-02,2020-21,Dar Es Salaam,0
1592-001-01,2020-21,Dar Es Salaam,0
1593-001-01,2020-21,Dar Es Salaam,0
1594-001-01,2020-21,Dar Es Salaam,0
1595-001-01,2020-21,Dar Es Salaam,0
1596-001-01,2020-21,Dar Es Salaam,0
1611-001-01,2020-21,Dar Es Salaam,0
1612-001-01,2020-21,Dar Es Salaam,0
1613-001-01,2020-21,Dar Es Salaam,0
1614-001-01,2020-21,Dar Es Salaam,0
1615-001-01,2020-21,Dar Es Salaam,0
1627-001-01,2020-21,Dar Es Salaam,0
1628-001-01,2020-21,Dar Es Salaam,0
1629-001-01,2020-21,Dar Es Salaam,0
1632-001-01,2020-21,Dar Es Salaam,0
1633-001-01,2020-21,Dar Es Salaam,0
1633-001-04,2020-21,Dar Es Salaam,0
1635-001-01,2020-21,Dar Es Salaam,0
1638-001-01,2020-21,Dar Es Salaam,0
1646-001-01,2020-21,Dar Es Salaam,0
1648-001-01,2020-21,Dar Es Salaam,0
1649-001-01,2020-21,Dar Es Salaam,0
1651-001-01,2020-21,Dar Es Salaam,0
1652-001-01,2020-21,Dar Es Salaam,0
1654-001-01,2020-21,Dar Es Salaam,0
1665-001-01,2020-21,Dar Es Salaam,0
1666-001-01,2020-21,Dar Es Salaam,0
1667-001-01,2020-21,Dar Es Salaam,0
1669-001-02,2020-21,Dar Es Salaam,0
1671-001-01,2020-21,Dar Es Salaam,0
1673-001-01,2020-21,Dar Es Salaam,0
1685-001-01,2020-21,Dar Es Salaam,0
1687-001-01,2020-21,Dar Es Salaam,0
1691-001-01,2020-21,Dar Es Salaam,0
1693-001-01,2020-21,Dar Es Salaam,0
1703-001-01,2020-21,Dar Es Salaam,0
1704-001-03,2020-21,Dar Es Salaam,0
1704-001-05,2020-21,Dar Es Salaam,0
1704-001-07,2020-21,Dar Es Salaam,0
1705-001-01,2020-21,Dar Es Salaam,1
1706-001-01,2020-21,Dar Es Salaam,0
1707-001-01,2020-21,Dar Es Salaam,0
1708-001-01,2020-21,Dar Es Salaam,0
1708-001-03,2020-21,Dar Es Salaam,0
1708-001-07,2020-21,Dar Es Salaam,0
1709-001-01,2020-21,Dar Es Salaam,0
1710-001-01,2020-21,Dar Es Salaam,0
1723-001-02,2020-21,Dar Es Salaam,0
1723-001-03,2020-21,Dar Es Salaam,0
1724-001-01,2020-21,Dar Es Salaam,0
1725-001-01,2020-21,Dar Es Salaam,0
1725-001-02,2020-21,Dar Es Salaam,0
1728-001-01,2020-21,Dar Es Salaam,0
1728-001-03,2020-21,Dar Es Salaam,0
1729-001-01,2020-21,Dar Es Salaam,0
1729-001-06,2020-21,Dar Es Salaam,0
1732-001-01,2020-21,Dar Es Salaam,0
1733-001-01,2020-21,Dar Es Salaam,0
1741-001-01,2020-21,Dar Es Salaam,0
1743-001-01,2020-21,Dar Es Salaam,0
1744-001-01,2020-21,Dar Es Salaam,0
1744-001-02,2020-21,Dar Es Salaam,0
1745-001-01,2020-21,Dar Es Salaam,0
1746-001-01,2020-21,Dar Es Salaam,0
1747-001-01,2020-21,Dar Es Salaam,0
1748-001-01,2020-21,Dar Es Salaam,0
1749-001-01,2020-21,Dar Es Salaam,0
1761-001-01,2020-21,Dar Es Salaam,0
1762-001-01,2020-21,Dar Es Salaam,0
1762-001-02,2020-21,Dar Es Salaam,0
1763-001-01,2020-21,Dar Es Salaam,0
1764-001-01,2020-21,Dar Es Salaam,0
1765-001-01,2020-21,Dar Es Salaam,0
1765-001-04,2020-21,Dar Es Salaam,0
1766-001-01,2020-21,Dar Es Salaam,0
1768-001-01,2020-21,Dar Es Salaam,0
1768-001-02,2020-21,Dar Es Salaam,0
1768-001-03,2020-21,Dar Es Salaam,0
1768-001-04,2020-21,Dar Es Salaam,0
1771-001-01,2020-21,Dar Es Salaam,0
